,User,text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
104,@CBS,Sustained. https://t.co/q6zA1sIkda,Fri Nov 13 22:09:02 +0000 2020,0.0,0.0,1.0,0.0,2
105,@CBS,"RT @CBSNews: The holidays look different in 2020, but there are still ways to celebrate. Here are tips for gathering under guidelines. http…",Fri Nov 13 21:09:41 +0000 2020,0.7814,0.246,0.754,0.0,2
106,@CBS,"RT @TVLine: #AllRise Season 2 Will Test Lola and Mark's Friendship 'in a Huge Way' — Plus, Watch a Tense Sneak Peek https://t.co/E3Klz1BFTQ",Fri Nov 13 21:05:54 +0000 2020,0.4215,0.188,0.725,0.087,2
107,@CBS,"We ❤️ love, goodness and #BobHeartsAbishola. https://t.co/dGJHNKVma0",Fri Nov 13 21:03:10 +0000 2020,0.802,0.545,0.455,0.0,2
108,@CBS,"RT @FaceTheNation: PROGRAMMING ALERT: This Sunday's edition of @FaceTheNation will be pre-empted by @TheMasters on @CBS stations. 

You can…",Fri Nov 13 20:12:00 +0000 2020,0.4466,0.14,0.86,0.0,2
109,@CBS,"RT @BET: Have you heard?! The Butlers and Johnsons of @TheNeighborhood are coming to BET, tonight 8/7c, to drop an episode on y’all to get…",Fri Nov 13 20:08:54 +0000 2020,-0.3382,0.0,0.909,0.091,2
110,@CBS,"Congratulations to @StephenAtHome and @colbertlateshow on their 1,000th episode. We look forward to many more, no m… https://t.co/FfjNg63EMm",Fri Nov 13 18:51:08 +0000 2020,0.3415,0.174,0.715,0.111,2
111,@CBS,RT @TVLine: Can #Bull Still Work His Magic in a COVID-Safe Courtroom? — Watch a Season 5 Premiere Sneak Peek https://t.co/MzmubaAvp6 https:…,Fri Nov 13 01:27:52 +0000 2020,0.0,0.0,1.0,0.0,2
112,@CBS,RT @TheTalkCBS: Will Wade find ❤️ love ❤️ this season? #WaltonGoggins spills on tonight's season premiere of @TheUnicornCBS. 🦄 https://t.co…,Fri Nov 13 01:04:39 +0000 2020,0.6369,0.16,0.84,0.0,2
113,@CBS,RT @AllRiseCBS: Risers! We invite you to join the #WeAllRise movement. Let the world know what you RISE FOR across social using #WeAllRise.…,Fri Nov 13 00:49:08 +0000 2020,0.4753,0.163,0.837,0.0,2
114,@CBS,RT @colbertlateshow: We'll see you at 11:50 PM ET/PT tonight after #TheMasters Highlights on @CBS! https://t.co/XAHHikQ1B0,Fri Nov 13 00:43:25 +0000 2020,0.0,0.0,1.0,0.0,2
115,@CBS,"RT @latelateshow: .@iamgreenfield attempts to explain the surreal experience of appearing on @PriceIsRight without an audience

https://t.c…",Thu Nov 12 23:21:31 +0000 2020,0.0,0.0,1.0,0.0,2
116,@CBS,"RT @CBSWatch: @TheUnicornCBS is serving up fresh new episodes, starting TONIGHT on @CBS and @CBSAllAccess! 🙌

Check out why this TV gem is…",Thu Nov 12 22:29:18 +0000 2020,0.3802,0.101,0.899,0.0,2
117,@CBS,RT @swatcbs: Powerful. #SWAT https://t.co/nTx3BWBsO8,Thu Nov 12 22:28:27 +0000 2020,0.4215,0.412,0.588,0.0,2
118,@CBS,RT @missmayalynne: Catch me tonight as a guest co-host on Entertainment Tonight before the the Season 2 premiere of The Unicorn! Watch both…,Thu Nov 12 22:22:58 +0000 2020,0.4753,0.123,0.877,0.0,2
119,@CBS,Watch the Season Premiere of @TheUnicornCBS at 9:30/8:30c on CBS and @CBSAllAccess. https://t.co/RNbReNrnqz,Thu Nov 12 22:20:50 +0000 2020,0.0,0.0,1.0,0.0,2
120,@CBS,"RT @BET: Y'all are in for a treat! Tomorrow beginning at 8/7c on @BET, we’re dropping some CBS goodness on you with episodes of @TheNeighbo…",Thu Nov 12 21:26:45 +0000 2020,0.7177,0.207,0.793,0.0,2
